rule,ra,rb,rb_max
0,0.0,[0. 0. 0. 0. 0. 0. 0.],0.0
1,0.07692370763543002,"[0.00636424 0.00631082 0.00838007 0.01087739 0.01307622 0.01578283
 0.01959647]",0.01959646718956003
2,0.0,[0. 0. 0. 0. 0. 0. 0.],0.0
3,0.08762009313376924,"[0.00376261 0.00360067 0.00422562 0.00552766 0.00688559 0.00959967
 0.01234182]",0.012341823520267269
4,0.04112973532504096,"[0.01612494 0.02631208 0.02818046 0.01938874 0.01783167 0.03668095
 0.03691507]",0.036915067199861255
5,0.02523331516024893,"[0.0182656  0.00876077 0.0120694  0.01200433 0.00977482 0.00791542
 0.00696827]",0.018265595625646013
6,0.0433545477290051,"[0.16280961 0.15104527 0.02411368 0.02513971 0.01061965 0.00820688
 0.01475542]",0.16280961417584416
7,0.007019456977336724,"[0.00165603 0.00093323 0.00060301 0.00038721 0.00030921 0.00081572
 0.00649872]",0.006498717878496921
8,0.0,[0. 0. 0. 0. 0. 0. 0.],0.0
9,0.03247487793519056,"[0.00988712 0.00943966 0.00950889 0.00865025 0.00854383 0.00844535
 0.01075937]",0.010759373762165294
10,0.0,[0. 0. 0. 0. 0. 0. 0.],0.0
11,0.03039189055957529,"[0.00461313 0.00472435 0.00497147 0.00583215 0.00684069 0.00987692
 0.01650585]",0.01650585173783934
12,0.02851200220609201,"[0.00718954 0.01276323 0.01527697 0.00961325 0.01443344 0.02468419
 0.03258809]",0.03258808826802236
13,0.017251260670586938,"[0.00858011 0.00761281 0.00375461 0.00893777 0.00729766 0.00985462
 0.00729766]",0.009854619988646913
14,0.11955299863860082,"[0.01281625 0.01355488 0.00275942 0.01460192 0.01399262 0.03404551
 0.0716444 ]",0.07164440128389679
15,0.0,"[7.90737312e-04 2.35475468e-04 1.80521069e-04 1.05523283e-04
 6.25768995e-06 0.00000000e+00 0.00000000e+00]",0.0007907373115480499
16,0.0,[0. 0. 0. 0. 0. 0. 0.],0.0
17,0.08792382243420714,"[0.00362559 0.00382529 0.00383789 0.00566911 0.00696364 0.00940722
 0.01297628]",0.012976275057713177
18,0.02761260481944246,"[0.         0.         0.         0.         0.0525955  0.20476847
 0.03001884]",0.20476846843044
19,0.025418852581568185,"[0.0029159  0.00415808 0.00469521 0.00590836 0.00555086 0.00735621
 0.01259379]",0.012593791179952466
