rule,alpha,d_ini,actual_run_num,mean
0,0.2,0.2,22.74,0.22605495998312514
0,0.2,0.25,23.6475,0.2519979737321123
0,0.2,0.3,24.2425,0.2745009804040671
0,0.2,0.35,25.465,0.29130791316389537
0,0.2,0.4,25.8175,0.30856175307114847
0,0.2,0.45,26.7,0.3197862601207086
0,0.2,0.5,26.63,0.33750707979472666
0,0.2,0.55,26.8675,0.34738274449522544
0,0.2,0.6,27.69,0.35369749247722226
0,0.2,0.65,27.78,0.36127467898044563
0,0.2,0.7,28.4575,0.3657554427534271
0,0.2,0.75,28.6075,0.3688008277772144
0,0.2,0.8,29.1525,0.3705838947442642
0,0.25,0.2,17.435,0.23040144730522297
0,0.25,0.25,18.4975,0.25573895971671307
0,0.25,0.3,18.9075,0.27848743706667756
0,0.25,0.35,19.5875,0.2963312607095384
0,0.25,0.4,19.9925,0.31339405361235984
0,0.25,0.45,20.615,0.32417341185394405
0,0.25,0.5,20.825,0.33873308809578545
0,0.25,0.55,21.1375,0.3501486725001467
0,0.25,0.6,21.78,0.3536801907042158
0,0.25,0.65,21.7875,0.36454189350639543
0,0.25,0.7,21.83,0.3716238174876675
0,0.25,0.75,22.1775,0.3731142640989908
0,0.25,0.8,22.6125,0.3722761099459473
0,0.3,0.2,14.73,0.2304005289551889
0,0.3,0.25,15.135,0.2574768914325052
0,0.3,0.3,15.5825,0.27873508721050516
0,0.3,0.35,15.805,0.3023877650962163
0,0.3,0.4,15.94,0.32166222210160766
0,0.3,0.45,16.6675,0.329449644320281
0,0.3,0.5,16.76,0.34659607504000967
0,0.3,0.55,17.4675,0.34861372531908097
0,0.3,0.6,17.5825,0.35841427645728813
0,0.3,0.65,17.3425,0.3720848279881565
0,0.3,0.7,18.28,0.36614180119163736
0,0.3,0.75,18.1825,0.3712625933738545
0,0.3,0.8,18.3275,0.37422063648674325
0,0.35,0.2,11.975,0.23636130484245702
0,0.35,0.25,12.565,0.26515249757247067
0,0.35,0.3,12.7825,0.2890031855231412
0,0.35,0.35,13.225,0.30287490245391097
0,0.35,0.4,13.2575,0.327155333342045
0,0.35,0.45,13.6225,0.33850284172109474
0,0.35,0.5,14.2775,0.34329543586996486
0,0.35,0.55,14.5025,0.3528384948886685
0,0.35,0.6,14.7575,0.36053309631601244
0,0.35,0.65,14.705,0.3679692767898537
0,0.35,0.7,14.9425,0.37151602034844805
0,0.35,0.75,15.1825,0.37309497330276803
0,0.35,0.8,15.055,0.37990494300866035
0,0.4,0.2,10.1375,0.24268102922438683
0,0.4,0.25,10.5175,0.2680408216870909
0,0.4,0.3,11.1575,0.2861488176418849
0,0.4,0.35,11.285,0.31035721646252445
0,0.4,0.4,11.6675,0.3244538583678089
0,0.4,0.45,11.8725,0.33395599052640307
0,0.4,0.5,12.1225,0.34986474196036504
0,0.4,0.55,12.245,0.35792730204744294
0,0.4,0.6,12.375,0.3645428986036168
0,0.4,0.65,12.2825,0.3781042663730643
0,0.4,0.7,12.635,0.3761082108482039
0,0.4,0.75,13.025,0.3713255518399949
0,0.4,0.8,12.9425,0.3757394101960791
0,0.45,0.2,8.7625,0.24731755990591442
0,0.45,0.25,9.355,0.2683404640123316
0,0.45,0.3,9.45,0.29733138041917867
0,0.45,0.35,9.845,0.31385955675833105
0,0.45,0.4,10.0475,0.3298087271898006
0,0.45,0.45,10.1525,0.3451243740568431
0,0.45,0.5,10.5675,0.34723638894714554
0,0.45,0.55,10.49,0.36303493400443076
0,0.45,0.6,10.7775,0.36659985873824685
0,0.45,0.65,10.89,0.37068731121593573
0,0.45,0.7,10.9075,0.3777108684770407
0,0.45,0.75,10.9125,0.38192724559937113
0,0.45,0.8,11.1275,0.37495846588892134
0,0.5,0.2,7.5975,0.25291879580307086
0,0.5,0.25,7.9875,0.27726485497518083
0,0.5,0.3,8.4475,0.29454229588885483
0,0.5,0.35,8.6025,0.3165472597493099
0,0.5,0.4,8.7225,0.33466407209283816
0,0.5,0.45,8.7425,0.35215366916658447
0,0.5,0.5,8.9925,0.3582816075981605
0,0.5,0.55,9.0225,0.37157064386569805
0,0.5,0.6,9.1825,0.3777004261258282
0,0.5,0.65,9.44,0.37463180375152666
0,0.5,0.7,9.4275,0.378718940751277
0,0.5,0.75,9.4525,0.384736295237555
0,0.5,0.8,9.7325,0.37564379614314364
0,0.55,0.2,6.62,0.2587709141168433
0,0.55,0.25,6.9875,0.2838405913573719
0,0.55,0.3,7.21,0.3072876735724388
0,0.55,0.35,7.5425,0.32193472556970626
0,0.55,0.4,7.6775,0.33846065571759454
0,0.55,0.45,7.8175,0.3520822245251396
0,0.55,0.5,7.8825,0.36631959203964526
0,0.55,0.55,7.875,0.37936531057026424
0,0.55,0.6,8.105,0.38100933029127637
0,0.55,0.65,8.2125,0.38126126238389196
0,0.55,0.7,8.33,0.3835630408240106
0,0.55,0.75,8.215,0.3870003327457633
0,0.55,0.8,8.505,0.3739284574991767
0,0.6,0.2,5.965,0.2611125570951175
0,0.6,0.25,6.2125,0.29007751303733564
0,0.6,0.3,6.31,0.3183806081780924
0,0.6,0.35,6.66,0.3319431087811029
0,0.6,0.4,6.6025,0.3521225718729663
0,0.6,0.45,6.7575,0.36284389173441256
0,0.6,0.5,6.9175,0.37290147717733035
0,0.6,0.55,7.0225,0.38015717867926946
0,0.6,0.6,7.0775,0.3880859837521694
0,0.6,0.65,7.145,0.38714108857181834
0,0.6,0.7,7.42,0.38358458655712824
0,0.6,0.75,7.2525,0.38718523044812125
0,0.6,0.8,7.43,0.376079095301538
0,0.65,0.2,5.305,0.26787370709531055
0,0.65,0.25,5.3525,0.30562903882870146
0,0.65,0.3,5.6325,0.32105302253820484
0,0.65,0.35,5.775,0.3434678846665815
0,0.65,0.4,5.845,0.35773950598114473
0,0.65,0.45,6.015,0.36929692321701785
0,0.65,0.5,6.1825,0.3750411651862705
0,0.65,0.55,6.1425,0.39026119533927234
0,0.65,0.6,6.24,0.39230220018066797
0,0.65,0.65,6.37,0.3922187581206367
0,0.65,0.7,6.32,0.39377385597089093
0,0.65,0.75,6.38,0.38774210837648554
0,0.65,0.8,6.545,0.3780536221449472
0,0.7,0.2,4.5575,0.2831729391296469
0,0.7,0.25,4.7225,0.31422367643398963
0,0.7,0.3,4.96,0.3297582183287887
0,0.7,0.35,5.135,0.3483894892066627
0,0.7,0.4,5.2075,0.3669866360871975
0,0.7,0.45,5.385,0.3759354645278386
0,0.7,0.5,5.4975,0.38215163511626926
0,0.7,0.55,5.485,0.393240715861557
0,0.7,0.6,5.515,0.39708392227269085
0,0.7,0.65,5.51,0.4021347201611631
0,0.7,0.7,5.6025,0.39653105041252273
0,0.7,0.75,5.6475,0.3922718208308723
0,0.7,0.8,5.7975,0.3765317671650363
