,rule,alpha,d_ini,System_entropy
0,0,0.2,0.2,3.817809276656033
1,0,0.2,0.25,4.004413550774077
2,0,0.2,0.3,4.054950633692204
3,0,0.2,0.35,4.084074968868408
4,0,0.2,0.4,4.060894464432163
5,0,0.2,0.45,4.19048522494785
6,0,0.2,0.5,4.1465386051625766
7,0,0.2,0.55,4.268602363170346
8,0,0.2,0.6,4.272491847312464
9,0,0.2,0.65,4.334872937492967
10,0,0.2,0.7,4.259403960920451
11,0,0.2,0.75,4.428651179221799
12,0,0.2,0.8,4.343181606532286
13,0,0.25,0.2,3.6094826821996633
14,0,0.25,0.25,3.6915578670972082
15,0,0.25,0.3,3.923022528093836
16,0,0.25,0.35,3.914369681900277
17,0,0.25,0.4,3.8963080710465845
18,0,0.25,0.45,3.9401753409024844
19,0,0.25,0.5,3.9600811614916194
20,0,0.25,0.55,4.025188423533135
21,0,0.25,0.6,4.098035722424971
22,0,0.25,0.65,4.056813992206481
23,0,0.25,0.7,4.0077779528394935
24,0,0.25,0.75,4.095107841104178
25,0,0.25,0.8,4.116641071100349
26,0,0.3,0.2,3.492331856458218
27,0,0.3,0.25,3.556606584711423
28,0,0.3,0.3,3.592874932721425
29,0,0.3,0.35,3.6965469640179367
30,0,0.3,0.4,3.676411834651956
31,0,0.3,0.45,3.7663845589315077
32,0,0.3,0.5,3.792809533167761
33,0,0.3,0.55,3.8162507133558643
34,0,0.3,0.6,3.8237231369102203
35,0,0.3,0.65,3.822799414192738
36,0,0.3,0.7,3.899034903936355
37,0,0.3,0.75,3.943830419873151
38,0,0.3,0.8,3.8580308985538223
39,0,0.35,0.2,3.266741335773096
40,0,0.35,0.25,3.4020584571811354
41,0,0.35,0.3,3.5014975423439223
42,0,0.35,0.35,3.431607266249782
43,0,0.35,0.4,3.517689359325155
44,0,0.35,0.45,3.560328279653784
45,0,0.35,0.5,3.5828440132854253
46,0,0.35,0.55,3.609205636904298
47,0,0.35,0.6,3.6019495160118726
48,0,0.35,0.65,3.6911602789453712
49,0,0.35,0.7,3.6559777194184915
50,0,0.35,0.75,3.6971958593850034
51,0,0.35,0.8,3.742505806506727
52,0,0.4,0.2,3.105294047990352
53,0,0.4,0.25,3.178879341663288
54,0,0.4,0.3,3.2524578490938656
55,0,0.4,0.35,3.3754267451576494
56,0,0.4,0.4,3.343820027291287
57,0,0.4,0.45,3.378591645506238
58,0,0.4,0.5,3.4487422940521775
59,0,0.4,0.55,3.4750776389771927
60,0,0.4,0.6,3.451639488134626
61,0,0.4,0.65,3.519005006641468
62,0,0.4,0.7,3.527427194581959
63,0,0.4,0.75,3.5073082455179865
64,0,0.4,0.8,3.489453242893865
65,0,0.45,0.2,2.89953921743164
66,0,0.45,0.25,3.0670364055597843
67,0,0.45,0.3,3.1301503063899117
68,0,0.45,0.35,3.1511843578014775
69,0,0.45,0.4,3.1541570548005726
70,0,0.45,0.45,3.148386174378399
71,0,0.45,0.5,3.2536929111126356
72,0,0.45,0.55,3.252528885899013
73,0,0.45,0.6,3.2482430202898263
74,0,0.45,0.65,3.336625951483414
75,0,0.45,0.7,3.2774132233020534
76,0,0.45,0.75,3.379129704530992
77,0,0.45,0.8,3.341253829171728
78,0,0.5,0.2,2.7705818486285967
79,0,0.5,0.25,2.9487643760654003
80,0,0.5,0.3,2.984720986408777
81,0,0.5,0.35,2.9691075167293817
82,0,0.5,0.4,3.009534316091826
83,0,0.5,0.45,3.0310485169676578
84,0,0.5,0.5,3.073618516362026
85,0,0.5,0.55,3.118477069993391
86,0,0.5,0.6,3.1115440915205705
87,0,0.5,0.65,3.13591500192681
88,0,0.5,0.7,3.16442062903683
89,0,0.5,0.75,3.2134051664436503
90,0,0.5,0.8,3.159419187640529
91,0,0.55,0.2,2.5730107086721365
92,0,0.55,0.25,2.7710944631495904
93,0,0.55,0.3,2.82536409089396
94,0,0.55,0.35,2.8716788312257204
95,0,0.55,0.4,2.798439423763607
96,0,0.55,0.45,2.885695138965687
97,0,0.55,0.5,2.9378655193732772
98,0,0.55,0.55,2.935925087793475
99,0,0.55,0.6,2.9953186608442985
100,0,0.55,0.65,2.9808027134741035
101,0,0.55,0.7,3.0200042108384095
102,0,0.55,0.75,3.045140451861203
103,0,0.55,0.8,3.03775800249426
104,0,0.6,0.2,2.5371632552054812
105,0,0.6,0.25,2.6179468721162245
106,0,0.6,0.3,2.6873300724877742
107,0,0.6,0.35,2.672130256893555
108,0,0.6,0.4,2.71585733708851
109,0,0.6,0.45,2.7036027505244387
110,0,0.6,0.5,2.819824685369702
111,0,0.6,0.55,2.8230448110906594
112,0,0.6,0.6,2.848243594086024
113,0,0.6,0.65,2.8410548436130476
114,0,0.6,0.7,2.8379985881271725
115,0,0.6,0.75,2.8810733940714663
116,0,0.6,0.8,2.893713260182348
117,0,0.65,0.2,2.3328920487647493
118,0,0.65,0.25,2.448811627421163
119,0,0.65,0.3,2.531261892652492
120,0,0.65,0.35,2.5728442247391086
121,0,0.65,0.4,2.5444947550056365
122,0,0.65,0.45,2.578447144596833
123,0,0.65,0.5,2.6208482883971267
124,0,0.65,0.55,2.6743278191922593
125,0,0.65,0.6,2.6658944829881785
126,0,0.65,0.65,2.7006347490176053
127,0,0.65,0.7,2.6861156448445973
128,0,0.65,0.75,2.7006050464300797
129,0,0.65,0.8,2.7209535879646984
130,0,0.7,0.2,2.2368075048095557
131,0,0.7,0.25,2.2707191144179206
132,0,0.7,0.3,2.400047077335411
133,0,0.7,0.35,2.4039243216983577
134,0,0.7,0.4,2.3584581340817716
135,0,0.7,0.45,2.450311903333811
136,0,0.7,0.5,2.476586108288487
137,0,0.7,0.55,2.48543524621016
138,0,0.7,0.6,2.4673929352422483
139,0,0.7,0.65,2.510781915464003
140,0,0.7,0.7,2.526907133447974
141,0,0.7,0.75,2.555071383131283
142,0,0.7,0.8,2.5360538474794976
143,0,0.75,0.2,2.0174964994359197
144,0,0.75,0.25,2.0977130818131036
145,0,0.75,0.3,2.1864782126314646
146,0,0.75,0.35,2.2935147912952227
147,0,0.75,0.4,2.1796330312361705
148,0,0.75,0.45,2.278456793228526
149,0,0.75,0.5,2.280699738463946
150,0,0.75,0.55,2.3108023135887747
151,0,0.75,0.6,2.3467122837090604
152,0,0.75,0.65,2.387193280378233
153,0,0.75,0.7,2.3392068302640774
154,0,0.75,0.75,2.3801707282750675
155,0,0.75,0.8,2.4327124410242074
156,0,0.8,0.2,1.8679571835294246
157,0,0.8,0.25,1.9441478878666885
158,0,0.8,0.3,2.021081510442224
159,0,0.8,0.35,2.0658336135529556
160,0,0.8,0.4,2.095526049657641
161,0,0.8,0.45,2.090545823783829
162,0,0.8,0.5,2.1458791571171623
163,0,0.8,0.55,2.211655893095994
164,0,0.8,0.6,2.2062665054448987
165,0,0.8,0.65,2.2299565475879137
166,0,0.8,0.7,2.23889076577801
167,0,0.8,0.75,2.2242924631934153
168,0,0.8,0.8,2.219210045993644
169,0,0.85,0.2,1.719416062330441
170,0,0.85,0.25,1.7830450610898776
171,0,0.85,0.3,1.8467541835871168
172,0,0.85,0.35,1.8998743691938194
173,0,0.85,0.4,1.79066658132817
174,0,0.85,0.45,1.9067216215739848
175,0,0.85,0.5,1.982987076279378
176,0,0.85,0.55,1.9638423181165023
177,0,0.85,0.6,1.9344935168050654
178,0,0.85,0.65,1.9440549549073183
179,0,0.85,0.7,1.9582330961639645
180,0,0.85,0.75,2.011157492873929
181,0,0.85,0.8,2.0281900762216853
182,0,0.9,0.2,1.4543760004615396
183,0,0.9,0.25,1.529473750504809
184,0,0.9,0.3,1.6870576241704958
185,0,0.9,0.35,1.6492782504182701
186,0,0.9,0.4,1.697984957619214
187,0,0.9,0.45,1.67974937432915
188,0,0.9,0.5,1.6843760004615402
189,0,0.9,0.55,1.6879123124025568
190,0,0.9,0.6,1.7906190622727485
191,0,0.9,0.65,1.7614459337457709
192,0,0.9,0.7,1.7428946860970893
193,0,0.9,0.75,1.7360100837804506
194,0,0.9,0.8,1.7542931861259359
195,0,0.95,0.2,1.1829077621054398
196,0,0.95,0.25,1.1954887502163465
197,0,0.95,0.3,1.3324812503605776
198,0,0.95,0.35,1.2471880002307696
199,0,0.95,0.4,1.3124812503605774
200,0,0.95,0.45,1.3592782504182699
201,0,0.95,0.5,1.3190827503317315
202,0,0.95,0.55,1.3758797503894238
203,0,0.95,0.6,1.3375790004038466
204,0,0.95,0.65,1.4711730005192323
205,0,0.95,0.7,1.432814562359287
206,0,0.95,0.75,1.531990512437172
207,0,0.95,0.8,1.5211730005192325
208,0,1.0,0.2,0.0
209,0,1.0,0.25,0.0
210,0,1.0,0.3,0.0
211,0,1.0,0.35,0.0
212,0,1.0,0.4,0.0
213,0,1.0,0.45,0.0
214,0,1.0,0.5,0.0
215,0,1.0,0.55,0.0
216,0,1.0,0.6,0.0
217,0,1.0,0.65,0.0
218,0,1.0,0.7,0.0
219,0,1.0,0.75,0.0
220,0,1.0,0.8,0.0
221,1,0.2,0.2,13.28771237954811
222,1,0.2,0.25,13.28771237954811
223,1,0.2,0.3,13.28771237954811
224,1,0.2,0.35,13.28771237954811
225,1,0.2,0.4,13.28771237954811
226,1,0.2,0.45,13.28771237954811
227,1,0.2,0.5,13.28771237954811
228,1,0.2,0.55,13.28771237954811
229,1,0.2,0.6,13.28771237954811
230,1,0.2,0.65,13.28771237954811
231,1,0.2,0.7,13.28771237954811
232,1,0.2,0.75,13.28771237954811
233,1,0.2,0.8,13.28771237954811
234,1,0.25,0.2,13.28771237954811
235,1,0.25,0.25,13.28771237954811
236,1,0.25,0.3,13.28771237954811
237,1,0.25,0.35,13.28771237954811
238,1,0.25,0.4,13.28771237954811
239,1,0.25,0.45,13.28771237954811
240,1,0.25,0.5,13.28771237954811
241,1,0.25,0.55,13.28771237954811
242,1,0.25,0.6,13.28771237954811
243,1,0.25,0.65,13.28771237954811
244,1,0.25,0.7,13.28771237954811
245,1,0.25,0.75,13.28771237954811
246,1,0.25,0.8,13.28771237954811
247,1,0.3,0.2,13.28771237954811
248,1,0.3,0.25,13.28771237954811
249,1,0.3,0.3,13.28771237954811
250,1,0.3,0.35,13.28771237954811
251,1,0.3,0.4,13.28771237954811
252,1,0.3,0.45,13.28771237954811
253,1,0.3,0.5,13.28771237954811
254,1,0.3,0.55,13.28771237954811
255,1,0.3,0.6,13.28771237954811
256,1,0.3,0.65,13.28771237954811
257,1,0.3,0.7,13.28771237954811
258,1,0.3,0.75,13.28771237954811
259,1,0.3,0.8,13.28771237954811
260,1,0.35,0.2,13.28771237954811
261,1,0.35,0.25,13.28771237954811
262,1,0.35,0.3,13.28771237954811
263,1,0.35,0.35,13.28771237954811
264,1,0.35,0.4,13.28771237954811
265,1,0.35,0.45,13.28771237954811
266,1,0.35,0.5,13.28771237954811
267,1,0.35,0.55,13.28771237954811
268,1,0.35,0.6,13.28771237954811
269,1,0.35,0.65,13.28771237954811
270,1,0.35,0.7,13.28771237954811
271,1,0.35,0.75,13.28771237954811
272,1,0.35,0.8,13.28771237954811
273,1,0.4,0.2,13.28771237954811
274,1,0.4,0.25,13.28771237954811
275,1,0.4,0.3,13.28771237954811
276,1,0.4,0.35,13.28771237954811
277,1,0.4,0.4,13.28771237954811
278,1,0.4,0.45,13.28771237954811
279,1,0.4,0.5,13.28771237954811
280,1,0.4,0.55,13.28771237954811
281,1,0.4,0.6,13.28771237954811
282,1,0.4,0.65,13.28771237954811
283,1,0.4,0.7,13.28771237954811
284,1,0.4,0.75,13.28771237954811
285,1,0.4,0.8,13.28771237954811
286,1,0.45,0.2,13.28771237954811
287,1,0.45,0.25,13.28771237954811
288,1,0.45,0.3,13.28771237954811
289,1,0.45,0.35,13.28771237954811
290,1,0.45,0.4,13.28771237954811
291,1,0.45,0.45,13.28771237954811
292,1,0.45,0.5,13.28771237954811
293,1,0.45,0.55,13.28771237954811
294,1,0.45,0.6,13.28771237954811
295,1,0.45,0.65,13.28771237954811
296,1,0.45,0.7,13.28771237954811
297,1,0.45,0.75,13.28771237954811
298,1,0.45,0.8,13.28771237954811
299,1,0.5,0.2,13.28771237954811
300,1,0.5,0.25,13.28771237954811
301,1,0.5,0.3,13.28771237954811
302,1,0.5,0.35,13.28771237954811
303,1,0.5,0.4,13.28771237954811
304,1,0.5,0.45,13.28771237954811
305,1,0.5,0.5,13.28771237954811
306,1,0.5,0.55,13.28771237954811
307,1,0.5,0.6,13.28771237954811
308,1,0.5,0.65,13.28771237954811
309,1,0.5,0.7,13.28771237954811
310,1,0.5,0.75,13.28771237954811
311,1,0.5,0.8,13.28771237954811
312,1,0.55,0.2,13.28771237954811
313,1,0.55,0.25,13.28771237954811
314,1,0.55,0.3,13.28771237954811
315,1,0.55,0.35,13.28771237954811
316,1,0.55,0.4,13.28771237954811
317,1,0.55,0.45,13.28771237954811
318,1,0.55,0.5,13.28771237954811
319,1,0.55,0.55,13.28771237954811
320,1,0.55,0.6,13.28771237954811
321,1,0.55,0.65,13.28771237954811
322,1,0.55,0.7,13.28771237954811
323,1,0.55,0.75,13.28771237954811
324,1,0.55,0.8,13.28771237954811
325,1,0.6,0.2,13.28771237954811
326,1,0.6,0.25,13.28771237954811
327,1,0.6,0.3,13.28771237954811
328,1,0.6,0.35,13.28771237954811
329,1,0.6,0.4,13.28771237954811
330,1,0.6,0.45,13.28771237954811
331,1,0.6,0.5,13.28771237954811
332,1,0.6,0.55,13.28771237954811
333,1,0.6,0.6,13.28771237954811
334,1,0.6,0.65,13.28771237954811
335,1,0.6,0.7,13.28771237954811
336,1,0.6,0.75,13.28771237954811
337,1,0.6,0.8,13.28771237954811
338,1,0.65,0.2,13.28771237954811
339,1,0.65,0.25,13.28771237954811
340,1,0.65,0.3,13.28771237954811
341,1,0.65,0.35,13.28771237954811
342,1,0.65,0.4,13.28771237954811
343,1,0.65,0.45,13.28771237954811
344,1,0.65,0.5,13.28771237954811
345,1,0.65,0.55,13.28771237954811
346,1,0.65,0.6,13.28771237954811
347,1,0.65,0.65,13.28771237954811
348,1,0.65,0.7,13.28771237954811
349,1,0.65,0.75,13.28771237954811
350,1,0.65,0.8,13.28771237954811
351,1,0.7,0.2,13.28771237954811
352,1,0.7,0.25,13.28771237954811
353,1,0.7,0.3,13.28771237954811
354,1,0.7,0.35,13.28771237954811
355,1,0.7,0.4,13.28771237954811
356,1,0.7,0.45,13.28771237954811
357,1,0.7,0.5,13.28771237954811
358,1,0.7,0.55,13.28771237954811
359,1,0.7,0.6,13.28771237954811
360,1,0.7,0.65,13.28771237954811
361,1,0.7,0.7,13.28771237954811
362,1,0.7,0.75,13.28771237954811
363,1,0.7,0.8,13.28771237954811
364,1,0.75,0.2,13.28771237954811
365,1,0.75,0.25,13.28771237954811
366,1,0.75,0.3,13.28771237954811
367,1,0.75,0.35,13.28771237954811
368,1,0.75,0.4,13.28771237954811
369,1,0.75,0.45,13.28771237954811
