,rule,alpha,d_ini,level_3,count,actual_run_num,System_entropy
0,0,0.2,0.1,mean,0,4.908,0.0
1,0,0.2,0.2,mean,0,6.949,0.7308237526183015
2,0,0.2,0.3,mean,0,8.564,1.1570223253785692
3,0,0.2,0.4,mean,0,10.13,1.4443613006724183
4,0,0.2,0.5,mean,0,10.411,1.6995083257724657
5,0,0.2,0.6,mean,0,11.731,1.834482945246776
6,0,0.2,0.7,mean,0,12.076,2.0095976344730073
7,0,0.2,0.8,mean,0,12.551,2.150079736295552
8,0,0.2,0.9,mean,0,13.321,2.2325145719646318
9,0,0.25,0.1,mean,0,3.929,0.0
10,0,0.25,0.2,mean,0,5.725,0.7277041022940357
11,0,0.25,0.3,mean,0,6.826,1.125241599825032
12,0,0.25,0.4,mean,0,7.651,1.4289571967915857
13,0,0.25,0.5,mean,0,8.32,1.6479828001519308
14,0,0.25,0.6,mean,0,8.905,1.82501591835235
15,0,0.25,0.7,mean,0,9.747,1.954361898598381
16,0,0.25,0.8,mean,0,9.74,2.0701894557671054
17,0,0.25,0.9,mean,0,10.465,2.165888932703474
18,0,0.3,0.1,mean,0,3.131,0.0
19,0,0.3,0.2,mean,0,4.772,0.6897663337533763
20,0,0.3,0.3,mean,0,5.521,1.1050952717565983
21,0,0.3,0.4,mean,0,6.075,1.3869205336693928
22,0,0.3,0.5,mean,0,6.789,1.6104240247429145
23,0,0.3,0.6,mean,0,7.26,1.7887328773266409
24,0,0.3,0.7,mean,0,7.505,1.873870906058082
25,0,0.3,0.8,mean,0,8.224,1.9941070437279536
26,0,0.3,0.9,mean,0,8.364,2.066750036197492
27,0,0.35,0.1,mean,0,2.913,0.0
28,0,0.35,0.2,mean,0,3.984,0.6723267976648724
29,0,0.35,0.3,mean,0,4.788,1.0737825223935829
30,0,0.35,0.4,mean,0,5.306,1.354133014670093
31,0,0.35,0.5,mean,0,5.864,1.5510880789162298
32,0,0.35,0.6,mean,0,6.109,1.6973356774189126
33,0,0.35,0.7,mean,0,6.581,1.805307251637649
34,0,0.35,0.8,mean,0,6.792,1.921195335918507
35,0,0.35,0.9,mean,0,6.978,1.98520301867199
36,0,0.4,0.1,mean,0,2.501,0.0
37,0,0.4,0.2,mean,0,3.483,0.6702061023887366
38,0,0.4,0.3,mean,0,4.031,1.0483133332468986
39,0,0.4,0.4,mean,0,4.563,1.3387017440962081
40,0,0.4,0.5,mean,0,4.858,1.4994328647502857
41,0,0.4,0.6,mean,0,5.222,1.6133798995421866
42,0,0.4,0.7,mean,0,5.519,1.7442358863485514
43,0,0.4,0.8,mean,0,5.801,1.8340415688876082
44,0,0.4,0.9,mean,0,5.948,1.912444710484966
45,0,0.45,0.1,mean,0,2.296,0.0
46,0,0.45,0.2,mean,0,3.025,0.6502058891434942
47,0,0.45,0.3,mean,0,3.531,0.9767009805931333
48,0,0.45,0.4,mean,0,3.869,1.238289256715562
49,0,0.45,0.5,mean,0,4.31,1.410113919590578
50,0,0.45,0.6,mean,0,4.616,1.5690888189914964
51,0,0.45,0.7,mean,0,4.766,1.6556022430785913
52,0,0.45,0.8,mean,0,5.067,1.7642947751644724
53,0,0.45,0.9,mean,0,5.284,1.8218375046968356
54,0,0.5,0.1,mean,0,2.019,0.0
55,0,0.5,0.2,mean,0,2.58,0.5989024716313012
56,0,0.5,0.3,mean,0,3.145,0.9557210393986398
57,0,0.5,0.4,mean,0,3.588,1.1863630674226757
58,0,0.5,0.5,mean,0,3.797,1.3406437144301908
59,0,0.5,0.6,mean,0,4.069,1.4407230894135195
60,0,0.5,0.7,mean,0,4.148,1.5618110318676448
61,0,0.5,0.8,mean,0,4.421,1.6160629440156047
62,0,0.5,0.9,mean,0,4.577,1.6963879946492193
63,0,0.55,0.1,mean,0,1.866,0.0
64,0,0.55,0.2,mean,0,2.366,0.571442773719281
65,0,0.55,0.3,mean,0,2.727,0.874720196043971
66,0,0.55,0.4,mean,0,3.101,1.0975088352094635
67,0,0.55,0.5,mean,0,3.349,1.2508170161601582
68,0,0.55,0.6,mean,0,3.565,1.369928003554266
69,0,0.55,0.7,mean,0,3.851,1.4778471288134556
70,0,0.55,0.8,mean,0,3.904,1.5419102180275976
71,0,0.55,0.9,mean,0,4.087,1.6207193673245448
72,0,0.6,0.1,mean,0,1.652,0.0
73,0,0.6,0.2,mean,0,2.127,0.5474849413707761
74,0,0.6,0.3,mean,0,2.491,0.8124099072683646
75,0,0.6,0.4,mean,0,2.83,1.0399392411453032
76,0,0.6,0.5,mean,0,3.058,1.182000927628256
77,0,0.6,0.6,mean,0,3.176,1.3047477536025822
78,0,0.6,0.7,mean,0,3.355,1.3798330795106701
79,0,0.6,0.8,mean,0,3.476,1.4145960079859765
80,0,0.6,0.9,mean,0,3.612,1.4739653727486355
81,0,0.65,0.1,mean,0,1.555,0.0
82,0,0.65,0.2,mean,0,1.998,0.4987705558347843
83,0,0.65,0.3,mean,0,2.237,0.7690536811129683
84,0,0.65,0.4,mean,0,2.483,0.9405514517170399
85,0,0.65,0.5,mean,0,2.655,1.0685432154541459
86,0,0.65,0.6,mean,0,2.855,1.190522307026376
87,0,0.65,0.7,mean,0,3.043,1.2611148290624425
88,0,0.65,0.8,mean,0,3.177,1.3449746785122894
89,0,0.65,0.9,mean,0,3.22,1.4043173003098015
90,0,0.7,0.1,mean,0,1.418,0.0
91,0,0.7,0.2,mean,0,1.762,0.46733950596134305
92,0,0.7,0.3,mean,0,2.01,0.688777717467823
93,0,0.7,0.4,mean,0,2.198,0.8283458572393299
94,0,0.7,0.5,mean,0,2.37,0.973896506277527
95,0,0.7,0.6,mean,0,2.564,1.0560460072543292
96,0,0.7,0.7,mean,0,2.572,1.125253063509737
97,0,0.7,0.8,mean,0,2.815,1.2390452772190421
98,0,0.7,0.9,mean,0,2.92,1.295844324755869
99,0,0.75,0.1,mean,0,1.311,0.0
100,0,0.75,0.2,mean,0,1.602,0.39090673240127455
101,0,0.75,0.3,mean,0,1.822,0.588080714035998
102,0,0.75,0.4,mean,0,1.949,0.7127657951561307
103,0,0.75,0.5,mean,0,2.13,0.8304315348656787
104,0,0.75,0.6,mean,0,2.234,0.9304426353307126
105,0,0.75,0.7,mean,0,2.428,1.0352638148717568
106,0,0.75,0.8,mean,0,2.404,1.0659626752294469
107,0,0.75,0.9,mean,0,2.47,1.1310257009365883
108,0,0.8,0.1,mean,0,1.219,0.0
109,0,0.8,0.2,mean,0,1.459,0.3273588220323344
110,0,0.8,0.3,mean,0,1.615,0.4921183235114729
111,0,0.8,0.4,mean,0,1.797,0.6093410496333016
112,0,0.8,0.5,mean,0,1.894,0.709025010053934
113,0,0.8,0.6,mean,0,1.995,0.7946768460499039
114,0,0.8,0.7,mean,0,2.11,0.8734528189320773
115,0,0.8,0.8,mean,0,2.16,0.9413594532329139
116,0,0.8,0.9,mean,0,2.262,0.984480126035256
117,0,0.85,0.1,mean,0,1.175,0.0
118,0,0.85,0.2,mean,0,1.318,0.23874573638494243
119,0,0.85,0.3,mean,0,1.471,0.4024447395872954
120,0,0.85,0.4,mean,0,1.526,0.45396870063772404
121,0,0.85,0.5,mean,0,1.685,0.5692387271067664
122,0,0.85,0.6,mean,0,1.758,0.6550052719418871
123,0,0.85,0.7,mean,0,1.843,0.7179644412383761
124,0,0.85,0.8,mean,0,1.893,0.7635230933977996
125,0,0.85,0.9,mean,0,1.965,0.815109609193481
126,0,0.9,0.1,mean,0,1.098,0.0
127,0,0.9,0.2,mean,0,1.205,0.17339699375973558
128,0,0.9,0.3,mean,0,1.303,0.26569674481420263
129,0,0.9,0.4,mean,0,1.39,0.35092957710749206
130,0,0.9,0.5,mean,0,1.478,0.41688834896499954
131,0,0.9,0.6,mean,0,1.549,0.4865369718921229
132,0,0.9,0.7,mean,0,1.596,0.5259466219159256
133,0,0.9,0.8,mean,0,1.604,0.5646367197976117
134,0,0.9,0.9,mean,0,1.741,0.6610616625641828
135,0,0.95,0.1,mean,0,1.046,0.0
136,0,0.95,0.2,mean,0,1.102,0.09459147917027246
137,0,0.95,0.3,mean,0,1.14,0.13350977500432695
138,0,0.95,0.4,mean,0,1.197,0.18576466250649037
139,0,0.95,0.5,mean,0,1.243,0.22721942289466704
140,0,0.95,0.6,mean,0,1.286,0.2763022562546875
141,0,0.95,0.7,mean,0,1.328,0.3146927333448718
142,0,0.95,0.8,mean,0,1.37,0.35408897397005207
143,0,0.95,0.9,mean,0,1.404,0.3759508791818109
144,0,1.0,0.1,mean,0,1.0,0.0
145,0,1.0,0.2,mean,0,1.0,0.0
146,0,1.0,0.3,mean,0,1.0,0.0
147,0,1.0,0.4,mean,0,1.0,0.0
148,0,1.0,0.5,mean,0,1.0,0.0
149,0,1.0,0.6,mean,0,1.0,0.0
150,0,1.0,0.7,mean,0,1.0,0.0
151,0,1.0,0.8,mean,0,1.0,0.0
152,0,1.0,0.9,mean,0,1.0,0.0
153,1,0.2,0.1,mean,0,3000.0,7.604385659131078
154,1,0.2,0.2,mean,0,3000.0,7.605158216770418
155,1,0.2,0.3,mean,0,3000.0,7.608029114777068
156,1,0.2,0.4,mean,0,3000.0,7.607302639251028
157,1,0.2,0.5,mean,0,3000.0,7.609262016659974
