,rule,alpha,d_ini,level_3,n_cell,count,actual_run_num,mean_2,mean_3
0,0,0.2,0.2,mean,400,199.5,23.43,0.4347050497565117,0.6399806003245326
1,0,0.2,0.25,mean,400,199.5,23.7425,0.4933702647457169,0.7281175250056867
2,0,0.2,0.3,mean,400,199.5,24.69,0.5355357475590857,0.7904975054475978
3,0,0.2,0.35,mean,400,199.5,25.02,0.578392148884457,0.8547870202219713
4,0,0.2,0.4,mean,400,199.5,25.5625,0.6176341407977177,0.9140844907878776
5,0,0.2,0.45,mean,400,199.5,26.39,0.6403149445078864,0.9466199985291226
6,0,0.2,0.5,mean,400,199.5,27.3,0.6548274096506708,0.9695240508173358
7,0,0.2,0.55,mean,400,199.5,27.3775,0.6813367646793124,1.007597210524236
8,0,0.2,0.6,mean,400,199.5,26.595,0.715580205472239,1.0595081892922529
9,0,0.2,0.65,mean,400,199.5,27.7275,0.7169790062678306,1.0613556297008044
10,0,0.2,0.7,mean,400,199.5,28.5075,0.7236369009861489,1.0715221639470753
11,0,0.2,0.75,mean,400,199.5,29.1025,0.7245938000302923,1.073111485271179
12,0,0.2,0.8,mean,400,199.5,28.9225,0.7341041144421229,1.086728819244866
13,0,0.25,0.2,mean,400,199.5,17.69,0.4493494279252094,0.6621529825808513
14,0,0.25,0.25,mean,400,199.5,18.4625,0.5009914698119327,0.7386689714602945
15,0,0.25,0.3,mean,400,199.5,19.205,0.5414092316133471,0.7996255162186818
16,0,0.25,0.35,mean,400,199.5,19.6425,0.5854963843559031,0.8643579422609114
17,0,0.25,0.4,mean,400,199.5,20.6575,0.6020497824096037,0.8893333438480814
18,0,0.25,0.45,mean,400,199.5,20.625,0.6410893792711942,0.9477218138716944
19,0,0.25,0.5,mean,400,199.5,20.5625,0.6794227459766706,1.0054636416054379
20,0,0.25,0.55,mean,400,199.5,21.8175,0.6772568354977014,1.0027279995004654
21,0,0.25,0.6,mean,400,199.5,21.6175,0.7084006579044345,1.0490765348014
22,0,0.25,0.65,mean,400,199.5,22.0375,0.7154299620491426,1.0595808703475864
23,0,0.25,0.7,mean,400,199.5,21.9825,0.7332204393387185,1.0853149526019943
24,0,0.25,0.75,mean,400,199.5,22.3925,0.7364280504133315,1.0901322930569086
25,0,0.25,0.8,mean,400,199.5,22.7575,0.7334108916540525,1.085642104230903
26,0,0.3,0.2,mean,400,199.5,14.2875,0.45641513834347813,0.673033692477055
27,0,0.3,0.25,mean,400,199.5,14.75,0.5154980382406714,0.760026644438209
28,0,0.3,0.3,mean,400,199.5,15.6625,0.5560553216974116,0.8212523800122349
29,0,0.3,0.35,mean,400,199.5,16.2975,0.5859898098915572,0.8665406878630989
30,0,0.3,0.4,mean,400,199.5,16.0875,0.6376066229213113,0.9428355816961858
31,0,0.3,0.45,mean,400,199.5,16.8825,0.6492632545314955,0.9600103634300337
32,0,0.3,0.5,mean,400,199.5,16.9175,0.6796059642602192,1.00558420157921
33,0,0.3,0.55,mean,400,199.5,17.69,0.6847187423033241,1.0135177288800234
34,0,0.3,0.6,mean,400,199.5,17.1325,0.7269797131444181,1.0766770320981665
35,0,0.3,0.65,mean,400,199.5,17.805,0.7170253402037724,1.0618285822682376
36,0,0.3,0.7,mean,400,199.5,18.1125,0.7298571114143071,1.0801914223892322
37,0,0.3,0.75,mean,400,199.5,18.0875,0.7373332324748004,1.0917982860918003
38,0,0.3,0.8,mean,400,199.5,18.17,0.7414995854647273,1.0972716666927955
39,0,0.35,0.2,mean,400,199.5,12.195,0.4636175378474406,0.6831910963488074
40,0,0.35,0.25,mean,400,199.5,12.2475,0.5260111869439846,0.7760389210185559
41,0,0.35,0.3,mean,400,199.5,12.86,0.5709649522861002,0.84368177895329
42,0,0.35,0.35,mean,400,199.5,13.235,0.6047930448703377,0.8935433546578292
43,0,0.35,0.4,mean,400,199.5,13.6625,0.6291638660884262,0.9306394473625254
44,0,0.35,0.45,mean,400,199.5,13.96,0.6625366346880065,0.9795651575833749
45,0,0.35,0.5,mean,400,199.5,14.025,0.691338492496035,1.0233798959228033
46,0,0.35,0.55,mean,400,199.5,14.2,0.7124105453608859,1.0545940979467137
47,0,0.35,0.6,mean,400,199.5,14.5975,0.7180371662104644,1.0634380394227971
48,0,0.35,0.65,mean,400,199.5,14.74,0.7311716428208623,1.0824450006317596
49,0,0.35,0.7,mean,400,199.5,14.7625,0.745471975341702,1.104250232364129
50,0,0.35,0.75,mean,400,199.5,15.0325,0.7483807645960119,1.10820755644749
51,0,0.35,0.8,mean,400,199.5,14.8925,0.7600268580613232,1.125848720829535
52,0,0.4,0.2,mean,400,199.5,10.0,0.48331154261918186,0.7123497199994308
53,0,0.4,0.25,mean,400,199.5,10.65,0.5246476863215999,0.7747880746466943
54,0,0.4,0.3,mean,400,199.5,10.9175,0.5791457046666164,0.8561719410553981
55,0,0.4,0.35,mean,400,199.5,11.3075,0.6117890450661665,0.9047174291478011
56,0,0.4,0.4,mean,400,199.5,11.545,0.6519068179325156,0.9638486814237072
57,0,0.4,0.45,mean,400,199.5,11.8825,0.6671958502257778,0.9866085839146627
58,0,0.4,0.5,mean,400,199.5,12.1575,0.6892942552297449,1.020444460471118
59,0,0.4,0.55,mean,400,199.5,12.325,0.7055890564873667,1.043508333340992
60,0,0.4,0.6,mean,400,199.5,12.15,0.7363018514116679,1.0904005812114337
61,0,0.4,0.65,mean,400,199.5,12.515,0.7345144189281713,1.0875457852999029
62,0,0.4,0.7,mean,400,199.5,12.7575,0.7387843410434285,1.0933060103458485
63,0,0.4,0.75,mean,400,199.5,12.8425,0.7453947867903801,1.1041533633787992
64,0,0.4,0.8,mean,400,199.5,12.7325,0.7547058778685342,1.117454150726663
65,0,0.45,0.2,mean,400,199.5,8.71,0.48619721081960443,0.7170397197654185
66,0,0.45,0.25,mean,400,199.5,9.035,0.5451116092127297,0.8050473465049751
67,0,0.45,0.3,mean,400,199.5,9.425,0.5862454636920721,0.8665752457403891
68,0,0.45,0.35,mean,400,199.5,9.815,0.6189480376780403,0.915618905579598
69,0,0.45,0.4,mean,400,199.5,9.7475,0.6667451894233579,0.9862439229251008
70,0,0.45,0.45,mean,400,199.5,10.245,0.6778811325163916,1.003799464236879
71,0,0.45,0.5,mean,400,199.5,10.505,0.6977390923972746,1.0334254767979376
72,0,0.45,0.55,mean,400,199.5,10.45,0.7255349239966844,1.0743867391297939
73,0,0.45,0.6,mean,400,199.5,10.5625,0.7431083612514306,1.100221271796364
74,0,0.45,0.65,mean,400,199.5,10.7825,0.7401662102774006,1.0960495726342585
75,0,0.45,0.7,mean,400,199.5,10.9475,0.7459948042310591,1.1052912308154368
76,0,0.45,0.75,mean,400,199.5,11.0025,0.7521628097402416,1.1134678313904525
77,0,0.45,0.8,mean,400,199.5,11.2075,0.7436826878697324,1.100722363284428
78,0,0.5,0.2,mean,400,199.5,7.655,0.4923547799419139,0.7269136042202988
79,0,0.5,0.25,mean,400,199.5,8.15,0.541986366442573,0.8000271274623851
80,0,0.5,0.3,mean,400,199.5,8.1825,0.5916730162613161,0.8744680788717892
81,0,0.5,0.35,mean,400,199.5,8.51,0.6304743737423704,0.9319883719285074
82,0,0.5,0.4,mean,400,199.5,8.65,0.6649363607713927,0.9843995372475871
83,0,0.5,0.45,mean,400,199.5,8.815,0.691216084369605,1.0234716448208698
84,0,0.5,0.5,mean,400,199.5,8.875,0.7212043008574978,1.0688868622510208
85,0,0.5,0.55,mean,400,199.5,9.075,0.7327514325279597,1.0843907908041073
86,0,0.5,0.6,mean,400,199.5,9.4375,0.7328255342453711,1.0851956723923022
87,0,0.5,0.65,mean,400,199.5,9.3325,0.7502526576071132,1.1106881820172652
88,0,0.5,0.7,mean,400,199.5,9.475,0.7556893771074852,1.1193589500010361
89,0,0.5,0.75,mean,400,199.5,9.5625,0.7536898193028094,1.1161640601654168
90,0,0.5,0.8,mean,400,199.5,9.615,0.7493351100213772,1.1088448845479058
91,0,0.55,0.2,mean,400,199.5,6.765,0.5034825538348613,0.7437334143923233
92,0,0.55,0.25,mean,400,199.5,6.9775,0.5634224490336508,0.8320406270779127
93,0,0.55,0.3,mean,400,199.5,7.2525,0.6113439011034307,0.9034944852475408
94,0,0.55,0.35,mean,400,199.5,7.2975,0.652578674122057,0.9647854251470241
95,0,0.55,0.4,mean,400,199.5,7.67,0.674059271110818,0.9974956479086168
96,0,0.55,0.45,mean,400,199.5,7.75,0.704749162935406,1.0424571687419968
97,0,0.55,0.5,mean,400,199.5,7.7575,0.7292980036044874,1.0798900492131795
98,0,0.55,0.55,mean,400,199.5,8.0425,0.7398756307268297,1.0955750179808683
